state,year,votes,category,perwt,cat,question_id_mapped,region,respondents,question,democrat,total,democrat_cred,votes_total,votes_dem
MA,2016,3378801,0,2635821,educ_sel,1951,Northeast,,,,40.3792043129756,43.5477615059523,1364332.95911886,594136.463184184
MA,2016,3378801,1,2280711,educ_sel,1951,Northeast,,,,59.6207956870244,56.6205749157784,2014468.04088114,1140603.38624152
MA,2016,3378801,asian,209994,race_sel,260,Northeast,,,,1.77860977643426,68.2612566398041,60095.6849122585,41022.0697074048
MA,2016,3378801,black,280825,race_sel,260,Northeast,,,,7.02964471829218,91.1736427383793,237517.706038103,216553.544743574
MA,2016,3378801,latino,384507,race_sel,260,Northeast,,,,6.45270976947716,74.8520105839824,218024.222218192,163195.513890406
MA,2016,3378801,other,96452,race_sel,260,Northeast,,,,2.78580637431908,53.4807199270437,94126.8536335568,50339.7189679009
MA,2016,3378801,white,3944754,race_sel,260,Northeast,,,,81.9532293614773,44.0383544557543,2769036.53319789,1219438.12349902
MA,2016,3378801,0,2857220,inc_sel,917,Northeast,,,,58.7858686294557,52.15136341682,1986257.51711074,1035860.37614233
MA,2016,3378801,1,2059312,inc_sel,917,Northeast,,,,41.2141313705443,49.5818875415309,1392543.48288926,690449.343653072
MD,2008,2661905,0,2430949,educ_sel,1951,South,997,Are You a College Graduate?,60,48,60,1277714.4,766628.64
MD,2008,2661905,1,1522871,educ_sel,1951,South,997,Are You a College Graduate?,62,52,62,1384190.6,858198.172
MD,2008,2661905,asian,144888,race_sel,260,South,997,Vote by Race,,3,66.6212867592178,79857.15,53201.8608992387
MD,2008,2661905,black,1120194,race_sel,260,South,997,Vote by Race,94,25,94,665476.25,625547.675
MD,2008,2661905,latino,112900,race_sel,260,South,997,Vote by Race,,7,60.4642962962963,112900,68264.1905185185
MD,2008,2661905,other,68073,race_sel,260,South,997,Vote by Race,,2,70.071427376871,53238.1,37304.6965783259
MD,2008,2661905,white,2507765,race_sel,260,South,997,Vote by Race,47,64,47,1703619.2,800701.024
MD,2012,2734062,0,2445548,educ_sel,1951,South,1280,Are You a College Graduate?,65,48,65,1312349.76,853027.344
MD,2012,2734062,1,1691793,educ_sel,1951,South,1280,Are You a College Graduate?,58,52,58,1421712.24,824593.0992
MD,2012,2734062,asian,176868,race_sel,260,South,1280,Vote by Race,,4,66,109362.48,72179.2368
